description,label
ฝาท่อระบายน้ำชำรูดค่ะ,"('ถนน', 'ท่อระบายน้ำบนถนน')"
พระราม9 ซอย 26  รถจอดริมถนน ตลอดทางยาว ตั้งแต่กลางซอยไป ทำให้เสียช่องทางเดินรถยนต์ 1 เลน เจ้าหน้าที่ทั้งตำรวจและสำนักงานเขต ปล่อยให้จอดมาหลายปี แล้วไม่มีเจ้าหน้าที่มาจัดการใดๆ,จราจร
ตีเส้นถนนหน้าซอยคู้บอน 13,"('ถนน', 'พื้นผิวถนนชำรุด')"
ร้องเรียนครั้งที่ 10 ยิ่งร้องเรียน นอกจากปรับไม่ได้ ยังมีรถมาจอดขายของเพิ่ง นี่คือคุณไม่มีประสิทธิภาพ หรือมีการทุจริตในหน้าที่คะ? มีทั้งจอดขายยางปัดน้ำฝน ไก่ย่าง ต้นกัญชา ผิดกฎหมายจราจร ทุกอย่าง ไม่มีความสามารถจะจับปรับเลยรึไงคะ,กรุงเทพโปร่งใส&ทุจริต
รัชดา 32 แยก 1 หน้าบ้านเลขที่ 38/2 มีเถาวัลย์พันสายไฟฟ้าจำนวนมากเกรงว่าจะทำให้ไฟฟ้าลัดวงจรไฟไหม้ได้ครับ,ต้นไม้
คนไร้บ้านแถวโรงเรียนสตรีวิทยา ไถเงิน เดินตามเด็กเกาะแมค ดูเด็ก,คนไร้บ้าน&ขอทาน
ปัญหาการรื้อถอนสิ่งบ้านบนที่ดินเอกชน และไม่มีการกั้นรั่วให้เรียบร้อย ตอนนี้บ้านหลายๆหลัง โดนจับจองโดยคนเร่ร่อน เก็บของเก่า ตอนกลางคืนมีวัยรุ่นจั้นไปเสพยา และอาจจะเป็นแหล่งโจร และข่มขืนได้ ตอนนี้คนอยู่ในบริเวณนี้ไม่มีใครกล้สเดินผ่าน เพราะตอนกลางคืนน่ากลัวมาก,คนไร้บ้าน&ขอทาน
ฝาท่อ ตรงใต้สะพานตากสิน ชำรุด เท้าอาจจะตกลงไปได้ครับ,"('ทางเท้า', 'ท่อระบายน้ำบนทางเท้า')"
ยอดโยธี หน้ากรมการสารวัตรทหารบก,reject
แจ้งข้ามถนนไม่ปลอดภัยค่ะ  มีสัญญาณไฟแดง แต่รถทางตรงฝ่าไฟแดงทุกครั้ง และมีมอเตอร์ไซค์ขับออกจากซอยเพื่อเลี้ยว ทั้งที่เป็นทางห้ามเลี้ยวค่ะ คนข้ามถนนต้องระวังรถกันเอง มีป้อมตำรวจตรงทางแยกแต่ไม่เคยมีตำรวจประจำป้อมเลยค่ะ,"('ถนน', 'ทางม้าลาย')"
ทางพิเศษศรีรัช มุ่งหน้าเข้าเมือง รถจะไปทางตรงแต่ไม่ต่อคิว วิ่งไหล่ทาง ทุกเช้ารถจะติด รถที่วิ่งไหล่ทางจะจอดปิดเลนทำให้รถเลี้ยวไม่ได้ ติดเป็นเวลานาน แจ้งเจ้าหน้าที่มา 4 ปี ไม่มีการจัดการใดๆ,จราจร
แยกนี้ไม่เปิดใช้ไฟแดงดีๆมานานมาก ไฟกระพริบตลอดอันตรายมาก จะข้ามถนนหรือรถจะขับผ่านเหมือนต้องวัดใจตลอดจะเกิดอุบัติเหตุหลายครั้ง,จราจร
ร้องให้ตรวจสอบทุจริตที่สำนักงานเขตบางคอแหลม,กรุงเทพโปร่งใส&ทุจริต
1.ทางเดินเท้าไม่เรียบ ทำให้เดินสะดุดบ่อยๆ,"('ทางเท้า', 'ทางเท้าชำรุด')"
ครับ มีคนไร้บ้านมาอยู่อาศัย ทำให้ชาวบ้านเเถวนี้เดือดร้อน ทั้งของที่วางเละเทะ อุจจาระ ไม่เป็นที่ ส่งกลิ่น เคยมีคนพยายามไร้เเล้ว เเต่ไม่เป็นผล,คนไร้บ้าน&ขอทาน
ขยะท้ายซอยในที่ส่วนบุคคล แต่มีคนนำขยะมาทิ้งเรื่อยๆ แก้ปัญหาอย่างไรได้บ้างคะ เดินผ่านมีกลิ่นเหม็นค่ะ นะครับ,"('ขยะ', 'ขยะ')"
สวน9เนินบางบอน สูตรต้นไม้ล้มลุกมาก ต้องใช้คนงานจำนวนมาก มารดน้ำ ตัดหญ้า ถอนหญ้า  เด่วเอากระถางออก เปลี่ยนกระถางใหม่ สิ้นเปลืองงบ เปลืองภาษีประชาชน กทม โดยใช่เหตุ ให้ปลูกไม้ยืนต้น,ต้นไม้
น้ำท่วมหลังมอหอการค้า - ห้วยขวาง,น้ำท่วม
น้ำประปาไหลเบา ไม่ไหล,ประปา
บึงกระเทียม สวนสาธารณะเหม็นมาก วิ่งไปซูดดมกลิ่นเน่าเสีย อยากให้ปรับปรุงให้ดี เพราะใกล้แหล่งสถานศึกษา จะได้ใช้ประโยชน์ได้หลากหลายด้วยค่ะ,สวนสาธารณะ
ส่งกลิ่นเหม็นมาก,"('ขยะ', 'ขยะ')"
นำ้ตาท่วม,reject
น้องแมวแถวออฟฟิศ,สัตว์
